t,lat,lon,el
1687602582.000000,-12.771005,45.288393,21.760000
1687602583.000000,-12.771000,45.288394,21.771000
1687602584.000000,-12.770995,45.288395,21.782000
1687602585.000000,-12.770990,45.288397,21.763000
1687602586.000000,-12.770984,45.288399,21.761000
1687602587.000000,-12.770977,45.288402,21.765000
1687602588.000000,-12.770970,45.288404,21.766000
1687602589.000000,-12.770963,45.288406,21.765000
1687602590.000000,-12.770956,45.288409,21.760000
1687602591.000000,-12.770948,45.288411,21.766000
1687602592.000000,-12.770940,45.288414,21.780000
1687602593.000000,-12.770933,45.288416,21.782000
1687602594.000000,-12.770927,45.288417,21.769000
1687602595.000000,-12.770920,45.288420,21.772000
1687602596.000000,-12.770912,45.288423,21.760000
1687602597.000000,-12.770905,45.288425,21.766000
1687602598.000000,-12.770898,45.288427,21.761000
1687602599.000000,-12.770892,45.288430,21.757000
1687602600.000000,-12.770886,45.288432,21.768000
1687602601.000000,-12.770878,45.288435,21.773000
1687602602.000000,-12.770872,45.288437,21.766000
1687602603.000000,-12.770865,45.288439,21.764000
1687602604.000000,-12.770858,45.288442,21.754000
1687602605.000000,-12.770851,45.288444,21.764000
1687602606.000000,-12.770845,45.288447,21.773000
1687602607.000000,-12.770838,45.288449,21.752000
1687602608.000000,-12.770831,45.288451,21.760000
1687602609.000000,-12.770825,45.288453,21.772000
1687602610.000000,-12.770818,45.288455,21.762000
1687602611.000000,-12.770812,45.288458,21.763000
1687602612.000000,-12.770806,45.288459,21.764000
1687602613.000000,-12.770801,45.288461,21.768000
1687602614.000000,-12.770796,45.288463,21.768000
1687602615.000000,-12.770790,45.288465,21.758000
1687602616.000000,-12.770784,45.288467,21.761000
1687602617.000000,-12.770778,45.288470,21.765000
1687602618.000000,-12.770772,45.288473,21.763000
1687602619.000000,-12.770768,45.288475,21.761000
1687602620.000000,-12.770763,45.288477,21.752000
1687602621.000000,-12.770759,45.288480,21.768000
1687602622.000000,-12.770755,45.288482,21.762000
1687602623.000000,-12.770752,45.288486,21.757000
1687602624.000000,-12.770749,45.288488,21.769000
1687602625.000000,-12.770747,45.288491,21.771000
1687602626.000000,-12.770745,45.288493,21.776000
1687602627.000000,-12.770745,45.288496,21.761000
1687602628.000000,-12.770744,45.288499,21.776000
1687602629.000000,-12.770744,45.288502,21.781000
1687602630.000000,-12.770744,45.288505,21.769000
1687602631.000000,-12.770744,45.288508,21.774000
1687602632.000000,-12.770745,45.288511,21.781000
1687602633.000000,-12.770746,45.288514,21.767000
1687602634.000000,-12.770747,45.288517,21.771000
1687602635.000000,-12.770749,45.288520,21.766000
1687602636.000000,-12.770750,45.288522,21.771000
1687602637.000000,-12.770752,45.288525,21.769000
1687602638.000000,-12.770753,45.288528,21.777000
1687602639.000000,-12.770755,45.288532,21.780000
